ideal_clk_ps,ideal_clk_us,div_out_raw_ps,div_out_raw_us,div_out_dtc_ps,div_out_dtc_us,comp_3rd,sum_eo1,sum_eo2
175237000,175.237,175780100,175.780,175792630,175.793,-1536,768,0
176039000,176.039,176572100,176.572,176602630,176.603,768,-768,768
176841000,176.841,177396100,177.396,177404630,177.405,0,0,0
177643000,177.643,178172100,178.172,178198630,178.199,256,0,0
178445000,178.445,178980100,178.980,179000630,179.001,-512,256,0
179247000,179.247,179780100,179.780,179802630,179.803,768,-256,256
180049000,180.049,180604100,180.604,180620630,180.621,-1024,512,0
180851000,180.851,181380100,181.380,181406630,181.407,1280,-512,512
181653000,181.653,182196100,182.196,182208630,182.209,-1536,768,0
182455000,182.455,182988100,182.988,183018630,183.019,768,-768,768
183257000,183.257,183812100,183.812,183820630,183.821,0,0,0
184059000,184.059,184588100,184.588,184614630,184.615,256,0,0
184861000,184.861,185396100,185.396,185416630,185.417,-512,256,0
185663000,185.663,186196100,186.196,186218630,186.219,768,-256,256
186465000,186.465,187020100,187.020,187036630,187.037,-1024,512,0
187267000,187.267,187796100,187.796,187822630,187.823,1280,-512,512
188069000,188.069,188612100,188.612,188624630,188.625,-1536,768,0
188871000,188.871,189404100,189.404,189434630,189.435,768,-768,768
189673000,189.673,190228100,190.228,190236630,190.237,0,0,0
190475000,190.475,191004100,191.004,191030630,191.031,256,0,0
191277000,191.277,191812100,191.812,191832630,191.833,-512,256,0
192079000,192.079,192612100,192.612,192634630,192.635,768,-256,256
192881000,192.881,193436100,193.436,193452630,193.453,-1024,512,0
193683000,193.683,194212100,194.212,194238630,194.239,1280,-512,512
194485000,194.485,195028100,195.028,195040630,195.041,-1536,768,0
195287000,195.287,195820100,195.820,195850630,195.851,768,-768,768
196089000,196.089,196644100,196.644,196652630,196.653,0,0,0
196891000,196.891,197420100,197.420,197446630,197.447,256,0,0
197693000,197.693,198228100,198.228,198248630,198.249,-512,256,0
198495000,198.495,199028100,199.028,199050630,199.051,768,-256,256
199297000,199.297,199852100,199.852,199868630,199.869,-1024,512,0
200099000,200.099,200628100,200.628,200654630,200.655,1280,-512,512
200901000,200.901,201444100,201.444,201456630,201.457,-1536,768,0
201703000,201.703,202236100,202.236,202266630,202.267,768,-768,768
202505000,202.505,203060100,203.060,203068630,203.069,0,0,0
203307000,203.307,203836100,203.836,203862630,203.863,256,0,0
204109000,204.109,204644100,204.644,204664630,204.665,-512,256,0
204911000,204.911,205444100,205.444,205466630,205.467,768,-256,256
205713000,205.713,206268100,206.268,206284630,206.285,-1024,512,0
206515000,206.515,207044100,207.044,207070630,207.071,1280,-512,512
207317000,207.317,207860100,207.860,207872630,207.873,-1536,768,0
208119000,208.119,208652100,208.652,208682630,208.683,768,-768,768
208921000,208.921,209476100,209.476,209484630,209.485,0,0,0
209723000,209.723,210252100,210.252,210278630,210.279,256,0,0
210525000,210.525,211060100,211.060,211080630,211.081,-512,256,0
211327000,211.327,211860100,211.860,211882630,211.883,768,-256,256
212129000,212.129,212684100,212.684,212700630,212.701,-1024,512,0
212931000,212.931,213460100,213.460,213486630,213.487,1280,-512,512
213733000,213.733,214276100,214.276,214288630,214.289,-1536,768,0
214535000,214.535,215068100,215.068,215098630,215.099,768,-768,768
215337000,215.337,215892100,215.892,215900630,215.901,0,0,0
216139000,216.139,216668100,216.668,216694630,216.695,256,0,0
216941000,216.941,217476100,217.476,217496630,217.497,-512,256,0
217743000,217.743,218276100,218.276,218298630,218.299,768,-256,256
218545000,218.545,219100100,219.100,219116630,219.117,-1024,512,0
219347000,219.347,219876100,219.876,219902630,219.903,1280,-512,512
220149000,220.149,220692100,220.692,220704630,220.705,-1536,768,0
220951000,220.951,221484100,221.484,221514630,221.515,768,-768,768
221753000,221.753,222308100,222.308,222316630,222.317,0,0,0
222555000,222.555,223084100,223.084,223110630,223.111,256,0,0
223357000,223.357,223892100,223.892,223912630,223.913,-512,256,0
224159000,224.159,224692100,224.692,224714630,224.715,768,-256,256
224961000,224.961,225516100,225.516,225532630,225.533,-1024,512,0
225763000,225.763,226292100,226.292,226318630,226.319,1280,-512,512
226565000,226.565,227108100,227.108,227120630,227.121,-1536,768,0
227367000,227.367,227900100,227.900,227930630,227.931,768,-768,768
228169000,228.169,228724100,228.724,228732630,228.733,0,0,0
228971000,228.971,229500100,229.500,229526630,229.527,256,0,0
229773000,229.773,230308100,230.308,230328630,230.329,-512,256,0
230575000,230.575,231108100,231.108,231130630,231.131,768,-256,256
231377000,231.377,231932100,231.932,231948630,231.949,-1024,512,0
232179000,232.179,232708100,232.708,232734630,232.735,1280,-512,512
232981000,232.981,233524100,233.524,233536630,233.537,-1536,768,0
233783000,233.783,234316100,234.316,234346630,234.347,768,-768,768
234585000,234.585,235140100,235.140,235148630,235.149,0,0,0
235387000,235.387,235916100,235.916,235942630,235.943,256,0,0
236189000,236.189,236724100,236.724,236744630,236.745,-512,256,0
236991000,236.991,237524100,237.524,237546630,237.547,768,-256,256
237793000,237.793,238348100,238.348,238364630,238.365,-1024,512,0
238595000,238.595,239124100,239.124,239150630,239.151,1280,-512,512
239397000,239.397,239940100,239.940,239952630,239.953,-1536,768,0
240199000,240.199,240732100,240.732,240762630,240.763,768,-768,768
241001000,241.001,241556100,241.556,241564630,241.565,0,0,0
241803000,241.803,,,,,,,
