time_ps,time_us,ideal_clk,Fout,E_combined,edge_type
151456000,151.456,1,0,-36,ideal_clk_rise
151464000,151.464,1,0,-36,ideal_clk_rise
151472000,151.472,1,0,-36,ideal_clk_rise
151480000,151.480,1,0,-36,ideal_clk_rise
151488000,151.488,1,0,-36,ideal_clk_rise
151496000,151.496,1,0,-36,ideal_clk_rise
151504000,151.504,1,0,-36,ideal_clk_rise
151512000,151.512,1,0,-36,ideal_clk_rise
151520000,151.520,1,0,-36,ideal_clk_rise
151528000,151.528,1,0,-36,ideal_clk_rise
151536000,151.536,1,0,177,ideal_clk_rise
151544000,151.544,1,0,177,ideal_clk_rise
151552000,151.552,1,0,177,ideal_clk_rise
151560000,151.560,1,0,177,ideal_clk_rise
151568000,151.568,1,0,177,ideal_clk_rise
151576000,151.576,1,0,177,ideal_clk_rise
151584000,151.584,1,0,177,ideal_clk_rise
151592000,151.592,1,0,177,ideal_clk_rise
151600000,151.600,1,0,177,ideal_clk_rise
151608000,151.608,1,0,177,ideal_clk_rise
151616000,151.616,1,0,177,ideal_clk_rise
151624000,151.624,1,0,177,ideal_clk_rise
151632000,151.632,1,0,177,ideal_clk_rise
151640000,151.640,1,0,177,ideal_clk_rise
151648000,151.648,1,0,177,ideal_clk_rise
151656000,151.656,1,0,390,ideal_clk_rise
151664000,151.664,1,0,390,ideal_clk_rise
151672000,151.672,1,0,390,ideal_clk_rise
151680000,151.680,1,0,390,ideal_clk_rise
151688000,151.688,1,0,390,ideal_clk_rise
151696000,151.696,1,0,390,ideal_clk_rise
151704000,151.704,1,0,390,ideal_clk_rise
151712000,151.712,1,0,390,ideal_clk_rise
151720000,151.720,1,0,390,ideal_clk_rise
151728000,151.728,1,0,390,ideal_clk_rise
151736000,151.736,1,0,390,ideal_clk_rise
151744000,151.744,1,0,390,ideal_clk_rise
151752000,151.752,1,0,390,ideal_clk_rise
151760000,151.760,1,0,390,ideal_clk_rise
151768000,151.768,1,0,-421,ideal_clk_rise
151776000,151.776,1,0,-421,ideal_clk_rise
151784000,151.784,1,0,-421,ideal_clk_rise
151792000,151.792,1,0,-421,ideal_clk_rise
151800000,151.800,1,0,-421,ideal_clk_rise
151808000,151.808,1,0,-421,ideal_clk_rise
151816000,151.816,1,0,-421,ideal_clk_rise
151824000,151.824,1,0,-421,ideal_clk_rise
151832000,151.832,1,0,-421,ideal_clk_rise
151840000,151.840,1,0,-421,ideal_clk_rise
151848000,151.848,1,0,-421,ideal_clk_rise
151856000,151.856,1,0,-421,ideal_clk_rise
151864000,151.864,1,0,-421,ideal_clk_rise
151872000,151.872,1,1,-421,ideal_clk_rise
151880000,151.880,1,0,-209,ideal_clk_rise
151888000,151.888,1,0,-209,ideal_clk_rise
151896000,151.896,1,0,-209,ideal_clk_rise
151904000,151.904,1,0,-209,ideal_clk_rise
151912000,151.912,1,0,-209,ideal_clk_rise
151920000,151.920,1,0,-209,ideal_clk_rise
151928000,151.928,1,0,-209,ideal_clk_rise
151936000,151.936,1,0,-209,ideal_clk_rise
151944000,151.944,1,0,-209,ideal_clk_rise
151952000,151.952,1,0,-209,ideal_clk_rise
151960000,151.960,1,0,-209,ideal_clk_rise
151968000,151.968,1,0,-209,ideal_clk_rise
151976000,151.976,1,0,-209,ideal_clk_rise
151984000,151.984,1,0,-209,ideal_clk_rise
151992000,151.992,1,0,4,ideal_clk_rise
152000000,152.000,1,0,4,ideal_clk_rise
152008000,152.008,1,0,4,ideal_clk_rise
152016000,152.016,1,0,4,ideal_clk_rise
152024000,152.024,1,0,4,ideal_clk_rise
152032000,152.032,1,0,4,ideal_clk_rise
152040000,152.040,1,0,4,ideal_clk_rise
152048000,152.048,1,0,4,ideal_clk_rise
152056000,152.056,1,0,4,ideal_clk_rise
152064000,152.064,1,0,4,ideal_clk_rise
152072000,152.072,1,0,4,ideal_clk_rise
152080000,152.080,1,0,4,ideal_clk_rise
152088000,152.088,1,0,4,ideal_clk_rise
152096000,152.096,1,0,4,ideal_clk_rise
152104000,152.104,1,0,4,ideal_clk_rise
152112000,152.112,1,0,217,ideal_clk_rise
152120000,152.120,1,0,217,ideal_clk_rise
152128000,152.128,1,0,217,ideal_clk_rise
152136000,152.136,1,0,217,ideal_clk_rise
152144000,152.144,1,0,217,ideal_clk_rise
152152000,152.152,1,0,217,ideal_clk_rise
152160000,152.160,1,0,217,ideal_clk_rise
152168000,152.168,1,0,217,ideal_clk_rise
152176000,152.176,1,0,217,ideal_clk_rise
152184000,152.184,1,0,217,ideal_clk_rise
152192000,152.192,1,0,217,ideal_clk_rise
152200000,152.200,1,0,217,ideal_clk_rise
152208000,152.208,1,0,217,ideal_clk_rise
152216000,152.216,1,0,217,ideal_clk_rise
152224000,152.224,1,0,-594,ideal_clk_rise
152232000,152.232,1,0,-594,ideal_clk_rise
152240000,152.240,1,0,-594,ideal_clk_rise
152248000,152.248,1,0,-594,ideal_clk_rise
152256000,152.256,1,0,-594,ideal_clk_rise
152264000,152.264,1,0,-594,ideal_clk_rise
152272000,152.272,1,0,-594,ideal_clk_rise
152280000,152.280,1,0,-594,ideal_clk_rise
152288000,152.288,1,0,-594,ideal_clk_rise
152296000,152.296,1,0,-594,ideal_clk_rise
152304000,152.304,1,0,-594,ideal_clk_rise
152312000,152.312,1,0,-594,ideal_clk_rise
152320000,152.320,1,0,-594,ideal_clk_rise
152328000,152.328,1,1,-594,ideal_clk_rise
152336000,152.336,1,0,642,ideal_clk_rise
152344000,152.344,1,0,642,ideal_clk_rise
152352000,152.352,1,0,642,ideal_clk_rise
152360000,152.360,1,0,642,ideal_clk_rise
